flight_number,name,date_utc,rocket_id,rocket_name,launchpad_id,launchpad_name,success,failures,details,crew_count,payloads_count,cores_reused,landing_success,landing_type
1,FalconSat,2006-03-24T22:30:00.000Z,5e9d0d95eda69955f709d1eb,Falcon 1,5e9e4502f5090995de566f86,Kwajalein Atoll,0,1,Engine failure at 33 seconds and loss of vehicle,0,1,0,0,
2,DemoSat,2007-03-21T01:10:00.000Z,5e9d0d95eda69955f709d1eb,Falcon 1,5e9e4502f5090995de566f86,Kwajalein Atoll,0,1,"Successful first stage burn and transition to second stage, maximum altitude 289 km, Premature engine shutdown at T+7 min 30 s, Failed to reach orbit, Failed to recover first stage",0,1,0,0,
3,Trailblazer,2008-08-03T03:34:00.000Z,5e9d0d95eda69955f709d1eb,Falcon 1,5e9e4502f5090995de566f86,Kwajalein Atoll,0,1,Residual stage 1 thrust led to collision between stage 1 and stage 2,0,2,0,0,
4,RatSat,2008-09-28T23:15:00.000Z,5e9d0d95eda69955f709d1eb,Falcon 1,5e9e4502f5090995de566f86,Kwajalein Atoll,1,0,"Ratsat was carried to orbit on the first successful orbital launch of any privately funded and developed, liquid-propelled carrier rocket, the SpaceX Falcon 1",0,1,0,0,
5,RazakSat,2009-07-13T03:35:00.000Z,5e9d0d95eda69955f709d1eb,Falcon 1,5e9e4502f5090995de566f86,Kwajalein Atoll,1,0,,0,1,0,0,
6,Falcon 9 Test Flight,2010-06-04T18:45:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,,0,1,0,0,
7,COTS 1,2010-12-08T15:43:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,,0,2,0,0,
8,COTS 2,2012-05-22T07:44:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Launch was scrubbed on first attempt, second launch attempt was successful",0,1,0,0,
9,CRS-1,2012-10-08T00:35:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"CRS-1 successful, but the secondary payload was inserted into abnormally low orbit and lost due to Falcon 9 boost stage engine failure, ISS visiting vehicle safety rules, and the primary payload owner's contractual right to decline a second ignition of the second stage under some conditions.",0,2,0,0,
10,CRS-2,2013-03-01T19:10:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,Last launch of the original Falcon 9 v1.0 launch vehicle,0,1,0,0,
11,CASSIOPE,2013-09-29T16:00:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,"Commercial mission and first Falcon 9 v1.1 flight, with improved 13-tonne to LEO capacity. Following second-stage separation from the first stage, an attempt was made to perform an ocean touchdown test of the discarded booster vehicle. The test provided good test data on the experiment-its primary objective-but as the booster neared the ocean, aerodynamic forces caused an uncontrollable roll. The center engine, depleted of fuel by centrifugal force, shut down resulting in the impact and destruct",0,1,0,0,Ocean
12,SES-8,2013-12-03T22:41:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,First GTO launch for Falcon 9,0,1,0,0,
13,Thaicom 6,2014-01-06T18:06:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Second GTO launch for Falcon 9. The USAF evaluated launch data from this flight as part of a separate certification program for SpaceX to qualify to fly U.S. military payloads and found that the Thaicom 6 launch had ""unacceptable fuel reserves at engine cutoff of the stage 2 second burnoff""",0,1,0,0,
14,CRS-3,2014-04-18T19:25:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Following second-stage separation, SpaceX conducted a second controlled-descent test of the discarded booster vehicle and achieved the first successful controlled ocean touchdown of a liquid-rocket-engine orbital booster. Following touchdown the first stage tipped over as expected and was destroyed. This was the first Falcon 9 booster to fly with extensible landing legs and the first Dragon mission with the Falcon 9 v1.1 launch vehicle.",0,1,0,1,Ocean
15,OG-2 Mission 1,2014-07-14T15:15:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Total payload mass was 1,316 kg (2,901 lb) : 6 satellites weighing 172 kg each, plus two 142-kg mass simulators. This was the second Falcon 9 booster equipped with landing legs. Following second-stage separation, SpaceX conducted a controlled-descent test of the first stage, which successfully decelerated from hypersonic velocity in the upper atmosphere, made reentry and landing burns, deployed its legs and touched down on the ocean surface. As with the previous mission, the first stage then tip",0,1,0,1,Ocean
16,AsiaSat 8,2014-08-05T08:00:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,,0,1,0,0,
17,AsiaSat 6,2014-09-07T05:00:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,,0,1,0,0,
18,CRS-4,2014-09-21T05:52:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,,0,1,0,0,Ocean
19,CRS-5,2015-01-10T09:47:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Following second stage separation, SpaceX performed a test flight which attempted to return the first stage of the Falcon 9 through the atmosphere and land it on an approximately 90-by-50-meter (300 ft x 160 ft) floating platform-called the autonomous spaceport drone ship. Many of the test objectives were achieved, including precision control of the rocket's descent to land on the platform at a specific point in the Atlantic ocean, and a large amount of test data was obtained from the first use ",0,1,0,0,ASDS
20,DSCOVR,2015-02-11T23:03:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,First launch under USAF's OSP 3 launch contract. First SpaceX launch to put a satellite to an orbit with an orbital altitude many times the distance to the Moon: Sun-Earth libration point L1. The first stage made a test flight descent to an over-ocean landing within 10 m (33 ft) of its intended target.,0,1,0,1,Ocean
21,ABS-3A / Eutelsat 115W B,2015-03-02T03:50:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"The launch was Boeing's first-ever conjoined launch of a lighter-weight dual-commsat stack that was specifically designed to take advantage of the lower-cost SpaceX Falcon 9 launch vehicle. Per satellite, launch costs were less than $30 million. The ABS satellite reached its final destination ahead of schedule and started operations on September 10.",0,2,0,0,
22,CRS-6,2015-04-14T20:10:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Following the first-stage boost, SpaceX attempted a controlled-descent test of the first stage. The first stage contacted the ship, but soon tipped over due to excess lateral velocity caused by a stuck throttle valve resulting in a later-than-intended downthrottle.",0,1,0,0,ASDS
23,TürkmenÄlem 52°E / MonacoSAT,2015-04-27T23:03:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,,0,1,0,0,
24,CRS-7,2015-06-28T14:21:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,0,1,"Launch performance was nominal until an overpressure incident in the second-stage LOX tank, leading to vehicle breakup at T+150 seconds. The Dragon capsule survived the explosion but was lost upon splashdown because its software did not contain provisions for parachute deployment on launch vehicle failure.",0,1,0,0,ASDS
25,OG-2 Mission 2,2015-12-22T01:29:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Total payload mass was 2,034 kg (4,484 lb) : 11 satellites weighing 172 kg each, plus a 142-kg mass simulator. This was the first launch of the upgraded v1.1 variant (later called Falcon 9 Full Thrust), with a 30 percent power increase. Orbcomm had originally agreed to be the third flight of the enhanced-thrust rocket, but the change to the maiden flight position was announced in October 2015. SpaceX received a permit from the FAA to land the booster on solid ground at Cape Canaveral, and succee",0,1,0,1,RTLS
26,Jason 3,2016-01-17T15:42:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,"First launch of NASA and NOAA joint science mission under the NLS II launch contract (not related to NASA CRS or USAF OSP3 contracts). Last launch of the original Falcon 9 v1.1 launch vehicle. The Jason-3 satellite was successfully deployed to target orbit. SpaceX again attempted a recovery of the first stage booster by landing on an autonomous drone ship; this time located in the Pacific Ocean. The first stage did achieve a soft-landing on the ship, but a lockout on one of the landing legs fail",0,1,0,0,ASDS
27,SES-9,2016-03-04T23:35:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Second launch of the enhanced Falcon 9 Full Thrust launch vehicle. Following the launch, SpaceX attempted an experimental landing test to a drone ship, although a successful landing was not expected because launch mass exceeded previously indicated limit for a GTO there was little fuel left. As predicted, booster recovery failed: the spent first stage ""landed hard"", but the controlled-descent, atmospheric re-entry and navigation to the drone ship were successful and returned significant test dat",0,1,0,0,ASDS
28,CRS-8,2016-04-08T20:43:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Dragon carried over 1500 kg of supplies and delivered (stowed in its trunk) the inflatable Bigelow Expandable Activity Module (BEAM) to the ISS for two years of in-orbit tests. The rocket's first stage landed smoothly on SpaceX's autonomous spaceport drone ship 9 minutes after liftoff, making this the first ever successful landing of a rocket booster on a ship at sea as part of an orbital launch. The first stage B1021 was later also the first orbital booster to be used again, when launching SES-",0,1,0,1,ASDS
29,JCSAT-2B,2016-05-06T05:21:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Launched the JCSAT 14 communications satellite for Tokyo-based SKY Perfect JSAT Corp. JCSAT 14 will support data networks, television broadcasters and mobile communications users in Japan, East Asia, Russia, Oceania, Hawaii and other Pacific islands. This was the first time a booster successfully landed after a GTO mission.",0,1,0,1,ASDS
30,Thaicom 8,2016-05-27T21:39:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Manufactured by Orbital ATK, the 3,100-kilogram (6,800 lb) Thaicom 8 communications satellite will serve Thailand, India and Africa from the 78.5° East geostationary location. It is equipped with 24 active Ku-band transponders.",0,1,0,1,ASDS
31,ABS-2A / Eutelsat 117W B,2016-06-15T14:29:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"One year after pioneering this technique on flight 16, Falcon again launched two Boeing 702SP gridded ion thruster satellites in a dual-stack configuration, with the two customers sharing the rocket and mission costs. First stage landing attempt on drone ship failed on landing due to low thrust on one of the three landing engines.",0,2,0,0,ASDS
32,CRS-9,2016-07-18T04:45:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Among other cargo, an International Docking Adapter (IDA-2) was carried to the ISS. This mission had a successful first-stage landing at Cape Canaveral.*Including the reusable Dragon Capsule, total payload to orbit was 6457 kg.",0,1,0,1,RTLS
33,JCSAT-16,2016-08-14T05:26:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"First attempt to touch down from a ballistic trajectory using a single-engine landing burn. All previous landings from a ballistic trajectory had fired three engines on the landing-burn, which provided more braking force, but subjected the vehicle to greater structural stresses. The single-engine landing burn takes more time and fuel, but puts less stress on the vehicle.",0,1,0,1,ASDS
34,Amos-6,2016-09-01T13:07:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,0,1,"The rocket and Amos-6 payload were lost in a launch pad explosion on September 1, 2016 during propellant fill prior to a static fire test. The pad was clear of personnel and there were no injuries.",0,1,0,0,ASDS
35,Iridium NEXT Mission 1,2017-01-14T17:54:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,"Return-to-flight mission after the loss of Amos-6 in September 2016. Iridium NEXT will replace the original Iridium constellation, launched in the late 1990s. Each Falcon mission will carry 10 satellites, with a goal to complete deployment of the 66 plus 9 spare satellite constellation by mid 2018. The first two Iridium qualification units were supposed to ride a Dnepr rocket in April 2016 but were delayed, so Iridium decided to qualify the first batch of 10 satellites instead.",0,1,0,1,ASDS
36,CRS-10,2017-02-19T14:39:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"First Falcon 9 flight from the historic LC-39A launchpad at Kennedy Space Center, carrying supplies and materials to support dozens of science and research investigations scheduled during ISS Expeditions 50 and 51. The first stage returned to launch site and landed at LZ-1.",0,1,0,1,RTLS
37,EchoStar 23,2017-03-16T06:00:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"Communications satellite for EchoStar Corp. EchoStar XXIII, based on a spare platform from the cancelled CMBStar 1 satellite program, will provide direct-to-home television broadcast services over Brazil. There was no attempt at a first-stage recovery so this rocket did not have landing legs or grid fins.",0,1,0,0,
38,SES-10,2017-03-30T22:27:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"First payload to fly on a reused first stage, B1021, previously launched with CRS-8, which also landed a second time. In what is also a first, the payload fairing remained intact after a successful splashdown achieved with thrusters and a steerable parachute.",0,1,1,1,ASDS
39,NROL-76,2017-05-01T11:15:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"First launch under SpaceX's certification for national security space missions, which allows SpaceX to contract launch services for classified payloads. Second-stage speed and altitude telemetry were omitted from the launch webcast, which displayed first-stage telemetry instead, with continuous tracking of the booster from liftoff to landing for the first time.",0,1,0,1,RTLS
40,Inmarsat-5 F4,2017-05-15T23:21:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"At 6,070 kg this was the heaviest payload launched to GTO by a Falcon 9 rocket. The launch was originally scheduled for the Falcon Heavy, but performance improvements allowed the mission to be carried out by an expendable Falcon 9 instead.",0,1,0,0,
41,CRS-11,2017-06-03T21:07:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"This mission delivered the Neutron Star Interior Composition Explorer (NICER) to the ISS, along with the MUSES Earth imaging platform and ROSA solar array. For the first time, this mission launched a refurbished Dragon capsule, serial number C106 which first flew in September 2014 on the CRS-4 mission. Originally scheduled to launch on June 1, but was scrubbed due to inclement weather.",0,1,0,1,RTLS
42,BulgariaSat-1,2017-06-23T19:10:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,Second time a booster will be reused: Second flight of B1029 after the Iridium mission of January 2017. The satellite will be the first commercial Bulgarian-owned communications satellite and it will provide television broadcasts and other communications services over southeast Europe.,0,1,1,1,ASDS
43,Iridium NEXT Mission 2,2017-06-25T20:25:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,First flight with titanium grid fins to improve control authority and better cope with heat during re-entry.,0,1,0,1,ASDS
44,Intelsat 35e,2017-07-05T23:35:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"Due to the constraints of sending a heavy satellite (~6,000 kg) to GTO, the rocket will fly in its expendable configuration and the first-stage booster will not be recovered.",0,1,0,0,
45,CRS-12,2017-08-14T16:31:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"Dragon is expected to carry 2,349 kg (5,179 lb) of pressurized mass and 961 kg (2,119 lb) unpressurized. The external payload manifested for this flight is the CREAM cosmic-ray detector. First flight of the Falcon 9 Block 4 upgrade. Last flight of a newly-built Dragon capsule; further missions will use refurbished spacecraft.",0,1,0,1,RTLS
46,FormoSat-5,2017-08-24T18:50:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,Formosat-5 is an Earth observation satellite of the Taiwanese space agency. The SHERPA space tug by Spaceflight Industries was removed from the cargo manifest of this mission. The satellite has a mass of only 475 kg.,0,1,0,1,ASDS
47,Boeing X-37B OTV-5,2017-09-07T13:50:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"Notable because Boeing is the primary contractor of the X-37B, which has until now been launched by ULA, a SpaceX competitor and Boeing partnership. Second flight of the Falcon 9 Block 4 upgrade.",0,1,0,1,RTLS
48,Iridium NEXT Mission 3,2017-10-09T12:37:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,Third of eight missions to launch Iridium's second generation constellation from VAFB,0,1,0,1,ASDS
49,SES-11 / Echostar 105,2017-10-11T22:53:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"Nineteenth comsat to GTO, also the fourth satellite launched for SES and second for Echostar. Third time a first stage booster will be reused.",0,1,1,1,ASDS
50,KoreaSat 5A,2017-10-30T19:34:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,"KoreaSat 5A is a Ku-band satellite capable of providing communication services from East Africa and Central Asia to southern India, Southeast Asia, the Philippines, Guam, Korea, and Japan. The satellite will be placed in GEO at 113Â° East Longitude, and will provide services ranging from broadband internet to broadcasting services and maritime communications.",0,1,0,1,ASDS
51,CRS-13,2017-12-15T15:36:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,Will reuse the Dragon capsule previously flown on CRS-6 and will reuse the booster from CRS-11.,0,1,1,1,RTLS
52,Iridium NEXT Mission 4,2017-12-23T01:27:23.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,"Reusing the booster first used on Iridium-2, but will be flying expendable.",0,1,1,1,Ocean
53,ZUMA,2018-01-08T01:00:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Originally planned for mid-November 2017, the mission was delayed due to test results from the fairing of another customer. First-stage booster will attempt landing at LZ-1",0,1,0,1,RTLS
54,SES-16 / GovSat-1,2018-01-31T21:25:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Reused booster from the classified NROL-76 mission in May 2017. Following a successful experimental ocean landing that used three engines, the booster unexpectedly remained intact; Elon Musk stated in a tweet that SpaceX will attempt to tow the booster to shore.",0,1,1,1,Ocean
55,Falcon Heavy Test Flight,2018-02-06T20:45:00.000Z,5e9d0d95eda69974db09d1ed,Falcon Heavy,5e9e4502f509094188566f88,KSC LC 39A,1,0,"The launch was a success, and the side boosters landed simultaneously at adjacent ground pads. Drone ship landing of the central core failed. Final burn to heliocentric mars-earth orbit was successful after the second stage and payload passed through the Van Allen belts.",0,1,2,0,ASDS
56,Paz / Starlink Demo,2018-02-22T14:17:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,First flight with fairing 2.0. Will also carry two SpaceX test satellites for the upcoming Starlink constellation.,0,2,1,0,
57,Hispasat 30W-6,2018-03-06T05:33:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,Launched with landing legs and titanium grid fins. Did not attempt a landing due to 'unfavorable weather conditions in the recovery area'.,0,1,0,0,
58,Iridium NEXT Mission 5,2018-03-30T14:13:51.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,"Fifth Iridium NEXT mission to deploy ten Iridium NEXT satellites. Reused booster from third Iridium flight, and although controlled descent was performed, the booster was expended into the ocean. SpaceX planned a second recovery attempt of one half of the fairing using the specially modified boat Mr. Steven. However, the fairing's parafoil twisted during the recovery, which led to water impact at high speed",0,1,1,0,
59,CRS-14,2018-04-02T20:30:41.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"The launch used a refurbished booster (from CRS-12) for the 11th time, and a refurbished capsule (C110 from CRS-8) for the third time. External payloads include a materials research platform MISSE-FF phase 3 of the Robotic Refueling Mission TSIS, heliophysics sensor several crystallization experiments, and the RemoveDebris spacecraft aimed at space junk removal. The booster was expended in order to test a new landing profile.",0,1,1,0,
60,TESS,2018-04-18T22:51:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Part of the Explorers program, this space telescope is intended for wide-field search of exoplanets transiting nearby stars. It is the first NASA high priority science mission launched by SpaceX. It was the first time SpaceX launched a scientific satellite not primarily intended for Earth observations. The second stage placed it into a high-Earth elliptical orbit, after which the satellite's own booster will perform complex maneuvers including a lunar flyby, and over the course of two months, re",0,1,0,1,ASDS
61,Bangabandhu-1,2018-05-11T20:14:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509094188566f88,KSC LC 39A,1,0,First launch of a Block V first stage.,0,1,0,1,ASDS
62,Iridium NEXT Mission 6,2018-05-22T19:47:58.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4502f509092b78566f87,VAFB SLC 4E,1,0,GFZ arranged a rideshare of GRACE-FO on a Falcon 9 with Iridium following the cancellation of their Dnepr launch contract in 2015. Iridium CEO Matt Desch disclosed in September 2017 that GRACE-FO would be launched on the sixth Iridium NEXT mission. The booster reuse turnaround was a record 4.5 months between flights.,0,2,1,0,
63,SES-12,2018-06-04T04:45:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"SES-12, the replacement satellite for NSS-6, was successfully launched and deployed on June 4th, completing SpaceX's eleventh flight of 2018. According to SES Luxembourg, The SES-12 satellite will expand SES’s capabilities to provide direct-to-home (DTH) broadcasting, VSAT, Mobility and High Throughput Satellite (HTS) data connectivity services in the Middle East and the Asia-Pacific region, including rapidly growing markets such as India and Indonesia. [SES-12] will be co-located with SES-8",0,1,1,0,
64,CRS-15,2018-06-29T09:42:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Payload included MISSE-FF 2, ECOSTRESS, and a Latching End Effector. The refurbished booster featured a record 2.5 months period turnaround from its original launch of the TESS satellite — the fastest previous was 4.5 months. This was the last commercial flight of a Block 4 booster, which was expended into the Atlantic without landing legs and grid fins.",0,1,1,0,
